CountyName,Year,State,CN_lb/ac
CARROLL,1978,IA,66.88672091
CARROLL,1979,IA,74.99650451
CARROLL,1980,IA,71.10988377
CARROLL,1981,IA,80.97009237
CARROLL,1982,IA,70.40694203
CARROLL,1983,IA,71.5022377
CARROLL,1984,IA,77.27121915
CARROLL,1985,IA,79.82647245
CARROLL,1986,IA,71.02209884
CARROLL,1987,IA,74.33785317
CARROLL,1988,IA,78.53564702
CARROLL,1989,IA,75.63512963
CARROLL,1990,IA,73.58167053
CARROLL,1991,IA,68.84300946
CARROLL,1992,IA,66.63227155
CARROLL,1993,IA,62.88218878
CARROLL,1994,IA,73.64887975
CARROLL,1995,IA,62.96734403
CARROLL,1996,IA,77.29980937
CARROLL,1997,IA,65.48899676
CARROLL,1998,IA,63.54752072
CARROLL,1999,IA,65.49778286
CARROLL,2000,IA,65.10075491
CARROLL,2001,IA,58.51019978
CARROLL,2002,IA,59.26489052
CARROLL,2003,IA,64.77077563
CARROLL,2004,IA,67.51574249
CARROLL,2005,IA,73.55039989
CARROLL,2006,IA,68.57755754
CARROLL,2007,IA,86.50167205
CARROLL,2008,IA,83.84914116
CARROLL,2009,IA,72.10714489
CARROLL,2010,IA,82.30036409
CARROLL,2011,IA,103.9555467
CARROLL,2012,IA,109.2016327
CARROLL,2013,IA,102.2106866
CARROLL,2014,IA,83.43874082
CARROLL,2015,IA,84.25851801
CARROLL,2016,IA,90.11098391
CARROLL,2017,IA,91.92345679
CARROLL,2018,IA,82.62529636
CARROLL,2019,IA,83.61089206
CASS,1968,IA,33.28796895
CASS,1969,IA,26.59026722
CASS,1970,IA,28.35043441
CASS,1971,IA,31.58099528
CASS,1972,IA,31.84366481
CASS,1973,IA,46.88928382
